Position,Team,Played,TSR,SoTR,Shoot %,Save %,PDO,W,D,L,Pts,Fl,Y,R,Sh,ShT
1,Liverpool,6,65.97,72.73,35,86.67,121.67,6,0,0,18,70,5,0,95,40
2,Man City,6,78.21,80.88,34.55,76.92,111.47,5,1,0,16,47,5,0,140,55
3,Chelsea,6,70.25,74,37.84,69.23,107.07,5,1,0,16,55,5,0,111,37
4,Watford,6,55.73,63.83,36.67,64.71,101.37,4,1,1,13,70,13,0,73,30
5,Tottenham,6,52.1,55,36.36,74.07,110.44,4,0,2,12,71,8,0,87,33
6,Arsenal,6,49.38,51.39,32.43,74.29,106.72,4,0,2,12,78,11,0,79,37
7,Man United,6,57.82,56.45,25.71,66.67,92.38,3,1,2,10,64,10,2,85,35
8,Bournemouth,6,48.75,47.17,40,60.71,100.71,3,1,2,10,59,8,1,78,25
9,Leicester,6,54.62,56.14,34.38,60,94.38,3,0,3,9,63,11,2,71,32
10,Wolves,6,57.79,55.56,20,75,95,2,3,1,9,67,6,0,89,30
11,Crystal Palace,6,45.45,48.15,15.38,78.57,93.96,2,1,3,7,64,9,1,70,26
12,Everton,6,48.53,48.15,30.77,60.71,91.48,1,3,2,6,65,10,2,66,26
13,Brighton,6,37.06,35.29,44.44,66.67,111.11,1,2,3,5,86,12,0,53,18
14,Southampton,6,50.91,42.86,25,71.88,96.88,1,2,3,5,75,11,1,84,24
15,Fulham,6,45.41,43.24,25,69.05,94.05,1,2,3,5,57,8,0,84,32
16,Burnley,6,34.41,32.26,35,76.19,111.19,1,1,4,4,58,11,0,64,20
17,West Ham,6,37.5,33.9,25,71.79,96.79,1,1,4,4,69,20,0,57,20
18,Newcastle,6,32.86,42.5,23.53,65.22,88.75,0,2,4,2,80,8,1,46,17
19,Huddersfield,6,34.03,28.26,23.08,57.58,80.65,0,2,4,2,62,9,1,49,13
20,Cardiff,6,40.56,25,23.08,64.1,87.18,0,2,4,2,61,8,0,58,13
